Protein,WT,WT,AT5G27240,AT5G27240,AT3G04980,AT3G04980
AT1G54270,0,1,1,0,0,1
AT1G61430,0,0,1,0,0,0
AT1G63160,0,0,1,0,1,2
AT1G63470,0,0,1,0,8,11
AT1G66850,0,0,1,2,3,0
AT1G67230,0,0,1,0,2,2
AT1G68526,0,0,1,0,0,0
AT1G69530,0,1,1,0,3,0
AT1G72290,0,1,1,0,2,0
AT1G73710,0,0,1,1,0,0
AT1G74670,0,0,1,1,0,0
AT1G77750,0,0,1,0,1,4
AT1G78570,0,1,1,0,7,1
AT1G80410,0,1,1,0,3,3
AT1G80930,0,1,1,1,0,0
AT2G03680,0,1,1,0,2,0
AT3G10610,0,6,1,0,6,12
AT4G35830,0,1,1,0,0,0
AT2G07675,0,1,1,0,2,1
ATMG01190,0,0,1,0,1,2
AT2G10940,0,2,1,2,3,2
AT2G16505,0,1,1,1,0,1
AT2G18510,0,1,1,1,5,0
AT2G18740,0,1,1,1,1,3
AT5G56670,0,1,1,0,1,1
AT2G20890,0,1,1,0,2,0
AT5G64990,0,0,1,0,2,1
AT2G24420,0,1,1,1,1,0
AT2G24590,0,1,1,0,2,0
AT2G26210,0,0,1,0,1,0
AT2G27860,0,0,1,0,8,1
AT2G27880,0,3,1,2,2,1
AT2G28290,0,5,1,1,1,1
AT2G28355,0,0,1,3,1,0
AT2G28950,0,3,1,1,2,3
AT2G31980,0,0,1,0,1,0
AT2G33210,0,0,1,0,3,1
AT2G33830,0,1,1,1,0,0
AT2G34640,0,0,1,0,14,12
AT2G36620,0,1,1,1,2,1
AT2G37220,0,0,1,0,2,0
AT2G37990,0,2,1,0,1,0
AT2G38500,0,4,1,0,2,2
AT2G40290,0,0,1,0,2,0
AT2G40300,0,0,1,0,0,1
AT3G59540,0,0,1,0,1,1
AT2G43520,0,2,1,2,2,2
AT2G43550,0,0,1,0,0,3
AT2G43810,0,1,1,1,2,1
AT3G59890,0,0,1,0,3,1
AT2G44160,0,0,1,0,4,0
AT2G44530,0,0,1,0,6,0
AT2G47470,0,0,1,0,2,0
AT2G47940,0,0,1,0,1,0
AT3G01340,0,0,1,0,4,0
AT5G15520,0,0,1,0,4,5
AT3G02260,0,1,1,0,4,1
AT3G02650,0,1,1,1,1,1
AT3G03250,0,0,1,0,0,0
AT3G03780,0,0,1,0,2,0
AT3G05560,0,0,1,2,0,0
AT3G06050,0,0,1,0,0,1
AT3G07660,0,1,1,1,0,1
AT3G08530,0,1,1,0,2,1
AT3G08580,0,1,1,1,1,1
AT3G10850,0,0,1,0,2,1
AT3G11200,0,0,1,0,1,2
AT3G11400,0,0,1,1,3,2
AT3G11710,0,1,1,0,0,0
AT3G12110,0,3,1,0,2,1
AT3G12390,0,1,1,5,0,0
AT3G13300,0,0,1,0,2,0
AT3G13570,0,1,1,0,2,2
AT3G13860,0,0,1,0,1,0
AT3G14067,0,1,1,0,2,1
AT3G16950,0,0,1,0,2,0
AT3G18165,0,2,1,0,1,1
AT3G18190,0,2,1,1,2,1
