Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT2G37220,0,0,0,0,0,0,0,0,0,1,1,0
AT2G47940,0,0,0,0,0,0,0,0,0,1,1,0
AT3G22230,0,0,0,0,0,0,0,0,0,1,1,0
AT3G59970,0,0,0,0,0,0,0,0,0,1,1,0
AT4G26530,0,0,0,0,0,0,0,0,0,1,1,0
AT4G26840,0,0,0,0,0,0,0,0,0,1,1,0
AT5G10160,0,0,0,0,0,0,0,0,0,1,1,0
AT5G42190,0,0,0,0,0,0,0,0,0,1,1,0
AT5G55190,0,0,0,0,0,0,0,0,0,1,1,0
AT5G21274,0,0,0,0,0,0,0,0,0,1,1,1
AT5G24400,0,0,0,0,0,0,0,0,0,1,1,1
AT5G42980,0,0,0,0,0,0,0,0,0,1,1,1
AT3G29410,0,0,0,0,0,0,0,0,1,0,1,0
AT2G47510,0,0,0,0,0,0,0,0,1,0,1,2
AT5G20290,0,0,0,0,0,0,0,1,0,4,1,1
AT2G16600,0,0,0,0,0,0,0,1,2,2,1,1
AT2G41530,0,0,0,0,0,0,0,1,1,2,1,0
AT3G56490,0,0,3197400,0,2425300,3228100,0,1,4,1,1,2
AT1G32470,0,0,0,0,0,0,0,1,1,1,1,3
AT1G27970,0,0,2210000,4386400,0,6533700,0,2,4,1,1,3
AT1G62740,0,0,0,0,0,0,0,0,0,24,0,0
AT5G67630,0,0,0,0,0,0,0,0,0,21,0,0
AT2G25560,0,0,0,0,0,0,0,0,1,19,0,0
AT1G76290,0,0,0,0,0,0,0,0,0,16,0,0
AT3G18190,0,0,862860,5911000,0,0,0,0,3,13,0,0
AT5G03920,0,0,0,0,0,0,0,0,0,13,0,0
AT2G25170,0,0,0,0,0,0,0,0,0,12,0,0
AT2G03190,0,0,0,0,0,0,0,0,0,8,0,0
AT3G11910,0,0,0,0,0,0,0,0,0,8,0,0
AT3G19980,0,0,0,0,0,0,0,0,0,8,0,0
AT2G32730,0,0,0,0,0,0,0,0,1,6,0,1
AT2G04030,0,0,0,0,0,0,0,0,0,6,0,0
AT5G42970,0,0,0,0,0,0,0,0,0,6,0,0
AT2G17360,0,0,0,0,0,0,0,0,1,5,0,1
AT1G60420,0,0,0,0,0,0,0,0,0,5,0,0
AT1G78900,0,0,0,0,0,0,0,0,0,5,0,0
AT3G22110,0,0,0,0,0,0,0,0,0,5,0,0
AT5G23540,0,0,0,0,0,0,0,0,0,5,0,0
ATCG00380,0,0,0,0,0,0,0,0,3,4,0,1
AT1G35680,0,0,0,0,0,0,0,0,2,4,0,1
AT2G40290,0,0,0,0,0,0,0,0,1,4,0,0
AT1G52740,0,0,0,0,0,0,0,0,0,4,0,0
AT3G42170,0,0,0,0,0,0,0,0,0,4,0,0
AT4G02570,0,0,0,0,0,0,0,0,0,4,0,0
AT5G09650,0,0,0,0,0,0,0,0,0,4,0,0
AT5G43010,0,0,0,0,0,0,0,0,0,4,0,0
AT3G44110,0,0,0,0,0,0,0,0,0,4,0,1
AT3G02780,0,0,2100400,1871200,0,0,0,0,2,3,0,0
AT1G62820,0,0,0,0,0,0,0,0,1,3,0,0
AT1G53750,0,0,0,0,0,0,0,0,0,3,0,0
AT1G64520,0,0,0,0,0,0,0,0,0,3,0,0
AT2G21390,0,0,0,0,0,0,0,0,0,3,0,0
AT3G19950,0,0,0,0,0,0,0,0,0,3,0,0
AT4G26390,0,0,0,0,0,0,0,0,0,3,0,0
