Protein,WT,WT,AT1G17770,AT1G177701
AT5G20980,3,4,4,3
AT5G55190,3,2,4,3
AT1G11860,3,3,4,2
AT1G22300,3,2,4,2
AT3G08900,3,4,4,2
AT4G15000,3,2,4,2
AT4G20980,3,2,4,2
AT5G55660,3,4,4,2
AT5G56350,3,0,4,2
AT1G69940,3,3,4,0
AT2G18020,3,0,4,0
AT3G04840,3,3,4,0
AT3G62530,3,4,4,0
AT5G07410,3,5,4,0
AT5G20990,3,4,4,0
AT5G53620,3,0,4,0
AT2G27860,3,2,3,6
AT5G46070,3,4,3,5
AT1G10050,3,3,3,4
AT1G48600,3,0,3,4
AT2G35860,3,3,3,4
AT3G11700,3,0,3,4
AT4G03020,3,4,3,4
AT4G35800,3,4,3,4
AT1G18080,3,4,3,3
AT1G53500,3,2,3,3
AT2G38210,3,3,3,3
AT2G43550,3,3,3,3
AT3G11400,3,7,3,3
AT3G27830,3,0,3,3
AT3G27850,3,0,3,3
AT3G47520,3,3,3,3
AT3G52370,3,2,3,3
AT4G12960,3,3,3,3
AT4G19006,3,2,3,3
AT4G23690,3,4,3,3
AT5G40450,3,3,3,3
AT5G65910,3,4,3,3
AT1G08520,3,2,3,2
AT3G19760,3,2,3,2
AT4G24510,3,0,3,2
AT5G27030,3,2,3,2
AT5G59310,3,3,3,2
AT1G20970,3,2,3,0
AT3G51240,3,2,3,0
AT1G21720,3,3,2,3
AT1G64200,3,2,2,3
AT2G16360,3,2,2,3
AT3G14790,3,0,2,3
AT4G08520,3,3,2,3
AT4G15165,3,2,2,3
AT4G34555,3,2,2,3
AT4G39200,3,2,2,3
AT5G06390,3,3,2,3
AT1G66850,3,2,2,2
AT5G03290,3,0,2,2
AT5G11580,3,0,2,2
AT5G50850,3,0,2,2
AT1G10430,3,3,2,0
AT1G17220,3,2,2,0
AT1G48630,3,3,2,0
AT1G59830,3,3,2,0
AT1G69960,3,3,2,0
AT3G52180,3,0,2,0
AT3G60770,3,2,2,0
AT4G00100,3,2,2,0
AT5G03470,3,0,2,0
AT5G07440,3,2,2,0
AT5G17310,3,0,2,0
AT1G09270,3,3,0,3
AT3G25530,3,0,0,3
AT5G06060,3,0,0,2
AT1G23740,3,0,0,0
AT1G77440,3,2,0,0
AT2G27170,3,2,0,0
AT2G34860,3,0,0,0
AT3G16050,3,0,0,0
AT3G46000,3,0,0,0
AT3G60830,3,0,0,0
AT4G02510,3,0,0,0
AT4G26720,3,3,0,0
AT5G23140,3,0,0,0
AT5G34850,3,2,0,0
AT5G55260,3,3,0,0
AT3G46520,4,6,10,7
AT5G59370,4,6,10,7
AT4G05420,4,8,9,6
AT1G79920,4,3,8,3
AT3G11510,4,3,8,2
AT3G62120,4,7,7,8
AT3G55610,4,6,7,7
AT4G34110,4,5,7,5
AT3G09790,4,4,7,4
AT1G49760,4,4,7,2
AT2G04030,4,3,7,2
AT3G11630,4,3,7,0
AT1G78300,4,3,6,5
AT3G14420,4,4,6,5
AT3G63460,4,4,6,5
AT4G09000,4,4,6,5
AT5G14240,4,6,6,5
AT1G80480,4,4,6,3
AT3G03530,4,6,6,0
AT3G42170,4,2,6,0
AT3G53180,4,5,5,8
AT5G16050,4,6,5,7
AT2G42100,4,5,5,5
AT3G22630,4,4,5,5
AT4G18360,4,3,5,5
AT5G42980,4,4,5,4
AT5G39850,4,4,5,3
AT1G14410,4,4,5,2
AT2G19520,4,10,5,2
AT3G03250,4,0,5,2
AT5G06290,4,2,5,2
AT3G16470,4,6,5,0
AT4G18040,4,0,5,0
AT5G65770,4,2,4,7
AT5G65780,4,2,4,7
AT3G02780,4,3,4,6
AT5G22650,4,4,4,6
AT1G08200,4,3,4,5
AT1G35160,4,2,4,5
AT3G54960,4,4,4,5
AT5G09900,4,4,4,5
AT1G12310,4,3,4,4
AT1G17100,4,2,4,4
AT2G14120,4,4,4,4
AT2G37690,4,4,4,3
AT4G34860,4,2,4,3
AT5G20010,4,2,4,3
AT3G56490,4,5,4,2
AT2G41840,4,2,4,0
AT3G58730,4,3,3,6
AT2G29320,4,2,3,5
AT3G25150,4,3,3,5
AT4G05180,4,5,3,5
AT5G16440,4,3,3,5
AT1G55090,4,4,3,4
AT4G13930,4,2,3,4
AT2G33340,4,3,3,3
AT5G45930,4,5,3,3
AT5G64760,4,3,3,3
AT3G18580,4,3,3,2
AT5G15610,4,2,3,2
AT1G18450,4,0,3,0
AT1G20760,4,2,3,0
AT2G41530,4,4,3,0
AT5G42180,4,3,3,0
AT1G55860,4,2,2,5
AT1G73380,4,2,2,4
AT2G30810,4,4,2,4
AT2G28790,4,2,2,3
AT4G13430,4,3,2,3
AT1G74970,4,2,2,2
AT2G38020,4,0,2,2
AT5G02530,4,2,2,2
AT1G44835,4,2,0,2
AT3G03710,4,2,0,2
ATCG00900,4,0,0,2
ATCG01240,4,0,0,2
AT4G18240,4,0,0,0
AT3G01780,5,9,12,0
AT1G70580,5,6,10,8
AT2G39990,5,8,9,8
AT5G09590,5,7,9,6
AT1G52400,5,8,9,3
AT2G37620,5,4,8,7
AT3G53750,5,4,8,7
AT5G35630,5,6,8,6
AT5G64370,5,10,8,6
AT1G55060,5,4,8,5
AT1G65350,5,4,8,5
AT2G36170,5,4,8,5
AT3G52590,5,4,8,5
AT4G02890,5,4,8,5
AT4G05050,5,4,8,5
AT4G05320,5,4,8,5
AT4G25130,5,5,8,5
AT5G03240,5,4,8,5
AT5G20620,5,4,8,5
AT5G37640,5,4,8,5
AT5G42970,5,4,8,3
AT5G63110,5,7,7,9
AT1G79830,5,6,7,5
AT1G48410,5,4,7,0
AT3G02520,5,3,6,6
AT4G14800,5,5,6,6
AT5G08670,5,4,6,5
AT5G08680,5,4,6,5
AT5G08690,5,4,6,5
AT5G24420,5,6,6,5
AT2G07698,5,3,6,4
AT4G31990,5,4,6,4
ATMG01190,5,3,6,4
AT1G59760,5,7,6,2
AT3G53870,5,4,6,2
AT1G52030,5,4,5,6
AT2G21060,5,6,5,5
AT2G24940,5,2,5,5
AT3G55800,5,0,5,5
AT5G22580,5,3,5,4
AT3G16640,5,3,5,3
AT5G43060,5,4,4,5
AT1G09340,5,4,4,4
AT1G26570,5,4,4,4
AT3G14067,5,4,4,3
AT5G45620,5,4,4,3
AT4G11150,5,5,3,5
AT5G46820,5,4,3,5
AT1G66410,5,3,3,3
AT2G05920,5,3,3,3
AT2G41110,5,3,3,3
AT5G37780,5,3,3,3
AT5G57460,5,3,3,0
AT4G31180,5,2,2,2
AT3G29410,5,2,0,3
AT4G33680,6,12,12,14
AT5G66140,6,10,12,8
AT2G47110,6,6,12,5
AT3G62250,6,6,12,5
AT1G07890,6,6,11,11
AT1G23410,6,5,10,5
AT5G05010,6,10,9,9
AT1G31340,6,5,9,6
AT2G35635,6,5,9,6
AT3G12915,6,6,9,6
AT4G17520,6,6,8,9
AT4G37910,6,5,8,8
AT1G04810,6,7,8,7
AT4G38630,6,6,8,7
AT5G36880,6,7,8,7
AT3G26340,6,8,8,6
ATCG00480,6,4,8,6
AT1G30630,6,5,7,9
AT4G39260,6,8,7,9
AT5G56360,6,4,7,6
AT2G38230,6,6,7,4
AT2G33150,6,5,7,3
AT5G12110,6,7,6,4
