Protein,WT,WT,AT3G44750,AT3G44750,AT5G22650,AT5G22650
AT5G38270,1,0,0,0,0,0
AT5G36740,1,0,0,0,0,0
AT5G36670,1,0,0,0,0,0
AT5G30510,1,0,0,0,0,0
AT5G28030,1,0,0,0,0,0
AT5G26760,1,0,0,0,0,0
AT5G25210,1,0,0,0,0,0
AT5G24500,1,0,0,0,0,0
AT5G21060,1,0,0,0,0,0
AT5G19220,1,0,0,0,0,0
AT5G17990,1,0,0,0,0,0
AT5G17510,1,0,0,0,0,0
AT5G16920,1,0,0,0,0,0
AT5G12190,1,0,0,0,0,0
AT5G08560,1,0,0,0,0,0
AT5G08120,1,0,0,0,0,0
AT5G06670,1,0,0,0,0,0
AT5G05980,1,0,0,0,0,0
AT5G05920,1,0,0,0,0,0
AT5G05560,1,0,0,0,0,0
AT5G05050,1,0,0,0,0,0
AT5G04800,1,0,0,0,1,0
AT5G03800,1,0,0,0,0,0
AT4G39230,1,0,0,0,0,0
AT4G38710,1,0,0,0,0,0
AT4G37190,1,0,0,0,0,0
AT4G36020,1,0,0,0,0,0
AT4G34620,1,0,0,0,0,0
AT4G32910,1,0,0,0,0,0
AT4G32350,1,0,0,0,0,0
AT4G30340,1,0,0,0,0,0
AT4G30190,1,0,0,0,0,0
AT4G24620,1,0,0,0,0,0
AT4G18905,1,0,0,0,0,0
AT4G15950,1,0,0,0,0,0
AT4G13500,1,0,0,0,0,0
AT4G02580,1,0,0,0,0,0
AT4G01500,1,0,0,0,0,0
AT3G63340,1,0,0,0,0,0
AT3G63130,1,0,0,0,0,0
AT3G61970,1,0,0,0,0,0
