Protein,AT5G41580,AT5G41580,WT
AT5G55070,5,9,1
AT3G21110,5,7,1
AT1G29150,5,5,1
AT3G19760,5,4,1
AT3G05590,5,4,1
AT4G34215,5,3,1
AT4G08900,5,3,1
AT3G17810,5,2,1
AT2G43530,5,2,1
AT2G28470,5,2,1
AT1G09830,5,2,1
AT3G02730,5,0,1
AT4G36130,4,7,1
AT1G48610,4,7,1
AT4G13850,4,6,1
AT5G49650,4,5,1
AT5G64250,4,4,1
AT5G19440,4,4,1
AT3G14290,4,4,1
AT1G12840,4,4,1
AT4G34850,4,3,1
AT1G24260,4,2,1
AT4G09730,4,1,1
AT3G04600,4,1,1
AT1G80410,3,9,1
AT1G32990,3,6,1
AT4G09320,3,5,1
AT4G01897,3,5,1
AT3G06580,3,5,1
AT1G04110,3,5,1
AT3G12050,3,4,1
AT2G30860,3,4,1
AT5G23860,3,3,1
AT5G16450,3,3,1
AT4G39330,3,3,1
AT3G46000,3,3,1
AT3G23740,3,3,1
AT2G39700,3,3,1
AT2G20890,3,3,1
AT2G05260,3,3,1
AT1G62380,3,3,1
AT1G32470,3,3,1
AT1G12230,3,3,1
AT5G48760,3,2,1
AT5G13930,3,2,1
AT3G60770,3,2,1
AT3G06860,3,2,1
AT2G34160,3,2,1
AT2G31570,3,2,1
AT1G66240,3,2,1
AT1G62390,3,2,1
AT1G48830,3,2,1
AT1G09140,3,2,1
AT5G56030,3,1,1
AT5G44200,3,1,1
AT5G42970,3,1,1
AT5G35530,3,1,1
AT4G02430,3,1,1
AT3G62290,3,1,1
AT2G22780,3,1,1
AT1G62020,3,1,1
AT1G09010,3,1,1
AT5G63860,3,0,1
AT3G57890,3,0,1
AT3G06350,3,0,1
AT2G32920,3,0,1
AT1G67680,3,0,1
AT1G65450,3,0,1
AT1G05520,3,0,1
AT2G07698,2,12,1
AT3G53990,2,10,1
AT3G55620,2,9,1
AT1G52980,2,7,1
AT5G57870,2,6,1
AT3G52640,2,5,1
AT3G11400,2,5,1
AT2G33800,2,5,1
AT2G19570,2,5,1
AT5G05990,2,4,1
AT4G10480,2,4,1
AT3G55430,2,4,1
AT3G54230,2,4,1
AT3G10690,2,4,1
AT2G21270,2,4,1
AT2G18110,2,4,1
AT1G31812,2,4,1
AT1G09070,2,4,1
ATCG00540,2,3,1
AT5G64760,2,3,1
AT5G60960,2,3,1
AT4G34200,2,3,1
AT3G60830,2,3,1
AT3G48730,2,3,1
AT3G19170,2,3,1
AT2G40290,2,3,1
AT2G13540,2,3,1
AT2G06050,2,3,1
AT2G03680,2,3,1
AT1G06760,2,3,1
AT5G45620,2,2,1
AT5G03850,2,2,1
AT4G34450,2,2,1
AT4G32940,2,2,1
AT4G31580,2,2,1
AT4G04950,2,2,1
AT3G53030,2,2,1
AT3G12915,2,2,1
AT3G07030,2,2,1
AT2G41430,2,2,1
AT2G32720,2,2,1
AT2G25060,2,2,1
AT1G66410,2,2,1
ATCG00650,2,1,1
ATCG00330,2,1,1
AT5G66140,2,1,1
AT5G62350,2,1,1
AT5G61495,2,1,1
AT5G59370,2,1,1
AT5G28900,2,1,1
AT5G26210,2,1,1
AT5G20920,2,1,1
AT5G10260,2,1,1
AT4G25050,2,1,1
AT4G11260,2,1,1
AT3G59540,2,1,1
AT3G26520,2,1,1
AT3G23390,2,1,1
AT3G06730,2,1,1
AT3G05420,2,1,1
AT2G33430,2,1,1
AT2G03440,2,1,1
AT2G02760,2,1,1
AT1G55210,2,1,1
AT1G20440,2,1,1
ATMG00080,2,0,1
AT5G54770,2,0,1
AT5G15650,2,0,1
AT4G38710,2,0,1
AT3G53890,2,0,1
AT3G44340,2,0,1
AT3G23830,2,0,1
AT2G26060,2,0,1
AT1G56110,1,13,1
AT4G00270,1,5,1
AT3G13470,1,5,1
AT1G11840,1,5,1
AT4G37930,1,4,1
AT5G61780,1,3,1
AT5G57655,1,3,1
AT5G35980,1,3,1
AT5G22650,1,3,1
AT5G14740,1,3,1
AT5G14030,1,3,1
AT4G16060,1,3,1
AT3G54470,1,3,1
AT2G45710,1,3,1
AT1G48850,1,3,1
AT1G21065,1,3,1
AT1G17745,1,3,1
AT1G10670,1,3,1
AT1G07830,1,3,1
ATCG00470,1,2,1
AT5G63400,1,2,1
AT5G54760,1,2,1
AT5G47320,1,2,1
AT5G28740,1,2,1
AT5G16510,1,2,1
AT4G31840,1,2,1
AT4G15802,1,2,1
AT3G59510,1,2,1
AT3G56240,1,2,1
AT3G53870,1,2,1
AT3G20390,1,2,1
AT2G45470,1,2,1
AT2G43160,1,2,1
AT2G41475,1,2,1
AT2G39990,1,2,1
AT2G30060,1,2,1
AT2G14880,1,2,1
AT1G66430,1,2,1
AT1G55310,1,2,1
AT1G53645,1,2,1
AT1G26110,1,2,1
AT1G22920,1,2,1
AT1G07770,1,2,1
AT1G03680,1,2,1
ATCG00190,1,1,1
AT5G59320,1,1,1
AT5G58030,1,1,1
AT5G56500,1,1,1
AT5G54430,1,1,1
AT5G51100,1,1,1
AT5G43830,1,1,1
AT5G27700,1,1,1
AT5G17870,1,1,1
AT5G13490,1,1,1
AT5G05730,1,1,1
AT4G32720,1,1,1
AT4G29410,1,1,1
AT4G24770,1,1,1
AT4G21150,1,1,1
AT4G20890,1,1,1
AT4G17520,1,1,1
AT4G10040,1,1,1
AT4G04840,1,1,1
AT3G55360,1,1,1
AT3G54930,1,1,1
AT3G28900,1,1,1
AT3G28715,1,1,1
AT3G16980,1,1,1
AT3G15660,1,1,1
AT3G12290,1,1,1
AT3G09980,1,1,1
AT3G08770,1,1,1
AT3G08030,1,1,1
AT2G43910,1,1,1
AT2G29310,1,1,1
AT2G22230,1,1,1
AT2G20270,1,1,1
AT1G77710,1,1,1
AT1G50200,1,1,1
AT1G49130,1,1,1
AT1G47970,1,1,1
AT1G47200,1,1,1
AT1G44318,1,1,1
AT1G29965,1,1,1
AT1G20340,1,1,1
AT1G18210,1,1,1
AT1G18070,1,1,1
AT1G17190,1,1,1
AT1G12010,1,1,1
AT1G10370,1,1,1
AT1G08500,1,1,1
AT5G58590,1,0,1
AT5G46630,1,0,1
AT5G42100,1,0,1
AT4G35870,1,0,1
AT3G22200,1,0,1
AT2G37270,1,0,1
AT2G35635,1,0,1
AT2G21170,1,0,1
AT2G20420,1,0,1
AT2G17265,1,0,1
AT2G02850,1,0,1
AT1G61250,1,0,1
AT1G43190,1,0,1
AT1G35310,1,0,1
AT1G31740,1,0,1
AT1G14610,1,0,1
AT2G03850,0,5,1
AT3G52300,0,4,1
AT2G39795,0,4,1
AT5G62390,0,3,1
AT4G02230,0,3,1
AT2G37220,0,3,1
AT1G12780,0,3,1
AT5G58230,0,2,1
AT5G56290,0,2,1
AT5G52240,0,2,1
AT5G22060,0,2,1
AT5G19860,0,2,1
AT5G04740,0,2,1
AT4G32930,0,2,1
AT4G32460,0,2,1
AT4G15900,0,2,1
AT3G57490,0,2,1
AT3G54050,0,2,1
AT3G07880,0,2,1
AT5G66860,0,1,1
AT5G58040,0,1,1
AT5G52200,0,1,1
AT5G47930,0,1,1
AT5G28500,0,1,1
AT5G16960,0,1,1
AT5G15970,0,1,1
AT5G06060,0,1,1
AT4G37000,0,1,1
AT3G58110,0,1,1
AT3G56310,0,1,1
AT3G56130,0,1,1
AT3G49601,0,1,1
AT3G44600,0,1,1
AT3G19980,0,1,1
AT3G15080,0,1,1
AT3G14210,0,1,1
AT3G09740,0,1,1
AT3G07590,0,1,1
AT2G33380,0,1,1
AT2G21380,0,1,1
AT1G79550,0,1,1
AT1G74030,0,1,1
AT1G69530,0,1,1
AT1G67230,0,1,1
AT1G59830,0,1,1
AT1G01620,0,1,1
AT5G18100,0,0,1
AT4G28750,0,0,1
AT4G25550,0,0,1
AT4G14300,0,0,1
AT4G02425,0,0,1
AT3G62600,0,0,1
AT3G61860,0,0,1
AT3G52630,0,0,1
AT3G23330,0,0,1
