Protein,AT4G36290,WT
AT2G41680,6,0
AT5G10870,3,0
AT5G02050,3,0
AT1G29930,3,0
AT1G29920,3,0
AT1G29910,3,0
AT4G16143,6,0
AT2G01540,2,0
AT5G41520,2,0
AT5G11200,5,0
AT5G11170,5,0
AT3G06730,2,0
AT5G60980,5,0
AT2G14750,3,0
AT5G13050,3,0
AT1G11580,6,0
AT5G58070,2,0
AT5G63890,5,0
AT4G04640,4,0
AT5G03290,4,0
AT3G52180,4,0
AT2G14260,4,0
AT5G47640,2,0
AT5G39570,4,0
AT1G48830,2,0
AT5G13780,2,0
AT3G50440,3,0
AT3G50970,2,0
AT4G24220,4,0
AT3G23760,2,0
AT5G09590,7,0
AT1G24180,4,0
AT1G15140,3,0
AT4G26900,6,0
AT2G46580,2,0
AT5G11450,3,0
AT3G16420,3,0
AT1G44790,2,0
AT4G36020,3,0
AT2G42130,3,0
AT5G23210,5,0
AT1G03030,3,0
AT2G44790,2,0
AT5G23010,5,0
AT5G47030,2,0
AT1G59830,3,0
AT2G25950,2,0
AT4G27270,2,0
AT4G14100,2,0
AT3G24830,2,0
AT2G21250,3,0
AT5G01410,3,0
AT1G75280,3,0
AT4G04320,5,0
AT1G79930,8,0
AT1G79920,8,0
AT1G79870,3,0
AT5G66090,2,0
AT3G44110,4,0
AT5G36160,4,0
AT4G13360,4,0
AT2G39050,3,0
AT1G09830,5,0
AT3G18190,5,0
AT3G13930,5,0
AT1G62660,6,0
AT3G59760,4,0
AT1G03220,4,0
AT4G00490,5,0
AT3G10450,4,0
AT4G24770,3,0
AT4G13010,3,0
AT4G22670,4,0
AT4G16760,6,0
AT1G32990,2,0
AT3G13460,6,0
AT5G04430,3,0
AT2G29490,2,0
AT4G24350,3,0
AT5G67150,4,0
AT1G77060,3,0
AT4G33250,2,0
AT4G37550,4,0
AT2G03640,4,0
AT2G29420,2,0
AT3G17940,3,0
AT5G07030,4,0
AT5G12110,2,0
AT4G16260,3,0
AT2G40290,3,0
AT2G35450,3,0
AT2G44040,3,0
AT3G59890,3,0
AT1G20225,2,0
AT1G59700,2,0
AT4G31300,2,0
AT1G08110,2,0
AT1G21680,6,0
AT3G06810,7,0
AT1G53850,2,0
AT3G14290,2,0
AT4G37980,3,0
AT4G34230,3,0
AT5G16410,4,0
AT4G00620,3,0
AT1G78630,2,0
AT5G36700,3,0
AT5G36790,3,0
AT5G54430,2,0
AT3G10220,2,0
AT3G08030,3,0
AT5G54500,2,0
AT1G20200,4,0
AT5G59950,2,0
AT1G79790,2,0
AT1G70820,5,0
AT5G13520,5,0
AT2G17265,3,0
AT3G28220,3,0
AT4G12290,6,0
AT3G22850,2,0
AT2G02010,4,0
AT5G17330,4,0
AT2G27020,2,0
AT5G20950,5,0
AT4G39120,3,0
AT1G16350,4,0
AT3G52150,2,0
AT1G52510,3,0
AT5G53850,4,0
AT3G25760,2,0
AT4G02580,2,0
AT5G14240,2,0
AT1G79690,6,0
AT2G40060,2,0
AT5G13120,2,0
AT1G28200,2,0
AT2G27860,3,0
AT2G24200,4,0
AT5G60100,4,0
AT4G16690,2,0
AT3G52990,4,0
AT5G06060,2,0
AT3G06720,4,0
AT4G37870,5,0
AT2G41380,2,0
AT2G29350,2,0
AT1G09010,7,0
AT3G54360,3,0
AT5G67290,3,0
AT3G15356,2,0
AT1G17290,4,0
AT3G04000,2,0
AT3G16530,2,0
AT5G26360,4,0
AT2G41740,7,0
AT4G01700,2,0
AT3G54440,8,0
AT2G44490,4,0
AT2G20420,3,0
AT5G40490,3,0
AT1G54780,2,0
AT3G61430,2,0
AT4G00430,2,0
AT5G48930,3,0
AT2G43945,2,0
AT4G16060,2,0
AT1G03230,3,0
AT5G10010,3,0
AT2G20630,2,0
AT5G03630,3,0
AT2G38270,2,0
AT1G78850,3,0
AT3G53900,2,0
AT2G44100,3,0
AT4G17830,3,0
AT3G29670,3,0
AT5G04740,2,0
AT4G02930,3,0
AT2G33800,2,0
AT2G14170,4,0
AT3G57890,4,0
AT1G68560,6,0
AT4G26720,2,0
AT5G10460,2,0
AT4G21650,5,0
AT2G29340,2,0
AT4G31990,3,0
AT2G37500,3,0
AT4G25630,2,0
AT5G52470,2,0
AT5G58390,2,0
AT4G25900,2,0
AT5G06600,7,0
AT1G49660,2,0
AT1G24360,2,0
AT1G07250,3,0
AT1G62380,2,0
AT3G11400,2,0
AT4G29830,2,0
AT1G09490,2,0
AT3G51000,2,0
AT4G04950,3,0
AT1G49670,4,0
AT3G57610,3,0
AT2G31810,3,0
AT5G20080,2,0
AT1G63940,3,0
AT4G32940,3,0
AT5G06870,2,0
AT5G03470,3,0
AT5G06860,2,0
AT3G06580,3,0
AT2G23350,4,0
AT5G67030,4,0
AT1G74920,3,0
AT1G31070,3,0
AT2G35020,3,0
AT1G71860,2,0
AT5G08570,3,0
AT5G63680,3,0
AT5G65750,6,0
AT3G22200,3,0
AT2G17390,2,0
AT4G33080,3,0
AT3G42170,4,0
AT2G21390,7,0
AT4G27520,2,0
AT4G10960,2,0
AT5G52640,4,0
AT1G03310,5,0
AT3G19710,2,0
AT2G32810,5,0
AT2G25070,2,0
AT3G05060,3,0
AT1G07750,2,0
AT1G65590,3,0
AT1G17020,2,0
AT3G48000,3,0
AT2G25450,2,0
AT4G29010,4,0
AT3G55260,3,0
AT2G39770,2,0
AT1G41830,3,0
AT2G41220,9,0
AT3G60830,2,0
AT3G20050,3,0
AT1G66130,2,0
AT3G60880,2,0
AT5G36210,4,0
AT3G20820,2,0
AT3G61440,2,0
AT4G39090,2,0
AT5G05920,2,0
AT3G45640,2,0
AT5G45170,2,0
AT4G16190,2,0
AT4G19810,2,0
AT2G47330,4,0
AT1G03475,2,0
AT4G30310,3,0
AT5G45620,2,0
AT5G54900,2,0
AT4G30920,3,0
AT2G04030,4,0
AT3G59970,3,0
AT2G43790,2,0
AT3G15000,2,0
AT3G54760,4,0
AT3G22520,3,0
AT3G51800,2,0
AT2G43710,2,0
AT1G74260,7,0
AT5G64380,2,0
AT1G62640,2,0
AT5G54960,3,0
AT5G19550,2,0
AT5G05480,3,0
AT5G63980,2,0
AT1G71840,2,0
AT3G21110,2,0
AT3G29185,2,0
AT5G63870,2,0
AT5G05730,3,0
AT1G79340,2,0
AT4G20020,2,0
AT4G34110,3,0
AT1G56340,2,0
AT1G12230,2,0
AT1G69250,2,0
AT1G02020,3,0
AT2G36390,4,0
AT3G26380,3,0
AT2G23070,2,0
AT1G09620,5,0
AT3G01480,2,0
AT3G06510,3,0
AT1G14000,2,0
AT2G32920,2,0
AT1G80170,2,0
AT5G17990,2,0
AT2G43820,2,0
AT1G09750,2,0
AT4G24490,3,0
AT1G67180,2,0
AT5G65720,2,0
AT1G52040,2,0
AT1G27150,2,0
AT1G03350,2,0
AT3G62110,2,0
AT5G63570,2,0
AT3G48730,2,0
AT4G29220,2,0
AT5G01210,2,0
AT3G26030,2,0
AT5G60160,2,0
AT5G63800,3,0
AT1G48620,2,0
AT4G01070,2,0
AT3G06860,3,0
AT1G55090,3,0
AT5G08530,2,0
AT4G34138,2,0
AT3G21790,2,0
AT4G09570,2,0
AT3G17240,2,0
AT1G48030,2,0
AT3G55410,4,0
AT1G33680,3,0
AT5G14260,2,0
AT5G65780,4,0
AT5G65770,4,0
AT2G39930,3,0
AT3G59010,2,0
AT5G28900,2,0
AT5G28850,2,0
AT1G54220,2,0
AT5G03340,3,0
AT3G09840,3,0
AT1G76160,2,0
AT5G42740,2,0
AT1G15750,4,0
AT1G80490,4,0
AT2G13540,3,0
AT5G35790,2,0
AT2G15620,2,0
AT5G21105,2,0
AT4G19170,2,0
AT1G63650,2,0
AT5G26570,4,0
AT4G19210,2,0
AT5G63420,3,0
AT1G62020,4,0
AT1G26110,2,0
AT4G27500,2,0
AT3G01540,2,0
AT1G74040,2,0
AT1G18500,2,0
AT5G35970,3,0
AT5G48960,2,0
ATMG01190,2,0
AT2G07698,2,0
AT1G68580,2,0
AT5G16715,3,0
AT5G46420,2,0
AT3G23640,3,0
AT2G27880,3,0
AT3G10740,2,0
AT5G13980,3,0
AT3G52200,2,0
AT5G54260,2,0
AT4G33500,2,0
AT5G66420,2,0
AT4G26630,2,0
AT2G04160,2,0
AT5G03650,2,0
AT4G02280,2,0
AT3G55200,3,0
AT3G55220,3,0
AT4G24190,2,0
AT5G21160,2,0
AT4G34450,2,0
AT3G56150,2,0
AT1G18270,3,0
AT3G10690,2,0
AT4G30110,2,0
AT2G41790,2,0
AT1G15940,2,0
AT5G20280,2,0
AT5G66310,2,0
AT1G11720,2,0
AT3G45830,2,0
AT4G34900,2,0
AT4G34890,2,0
AT1G20960,2,0
AT5G53460,2,0
AT1G70320,2,0
AT1G55860,2,0
AT2G02100,0,3
AT5G51720,0,3
AT5G65730,0,6
AT2G24020,0,3
AT5G19860,0,2
AT5G64040,0,2
