Protein,WT,WT.1,AT5G04940
AT4G37930,5,4,5
AT4G26530,3,3,3
AT1G56340,4,0,4
AT5G02790,5,3,8
AT1G14410,7,3,10
AT5G35630,7,0,5
AT1G62390,4,0,3
AT5G14250,5,0,6
AT1G22920,6,2,5
AT5G34850,6,0,6
AT2G42520,5,0,4
AT2G37690,3,0,8
AT2G18020,3,0,2
AT1G30630,0,0,10
AT5G27030,4,0,3
AT5G37720,3,3,6
AT4G04640,2,0,6
AT2G36160,4,2,2
AT2G16600,4,0,4
AT2G41530,5,2,7
AT2G34040,7,0,4
AT1G07660,4,3,5
AT5G41950,2,0,3
AT3G48000,7,0,9
AT2G47470,4,0,6
AT5G59690,4,3,5
AT3G15880,3,0,5
AT2G28740,4,3,5
AT4G36130,2,0,0
AT5G56360,7,0,8
AT1G47900,5,0,5
AT3G46320,4,3,5
AT5G60980,4,2,5
AT2G31610,3,0,4
AT1G07820,4,3,5
AT5G59970,4,3,5
AT3G07850,4,0,4
AT5G15200,5,4,8
AT5G64760,3,3,9
AT3G53730,4,3,5
AT3G14040,4,0,4
AT3G45930,4,3,5
AT1G54270,4,3,5
AT5G03740,3,0,3
AT3G49680,2,0,5
AT2G44160,2,0,5
AT3G29075,4,0,3
AT2G37040,7,0,4
AT1G77510,3,3,4
AT4G23920,7,0,6
AT4G19410,0,0,4
AT3G55440,6,2,4
AT1G09620,0,0,3
AT3G52580,3,0,2
AT4G37870,3,0,6
AT5G40580,4,2,3
AT3G13460,4,0,6
AT5G20830,2,0,5
AT2G05380,0,0,7
AT2G04030,5,0,3
AT4G31180,0,0,2
AT2G18110,5,2,4
AT3G04920,3,0,4
AT1G22300,3,0,7
AT3G15000,3,0,6
AT5G48230,7,0,9
AT5G53620,6,0,8
AT1G07750,4,0,5
AT5G05010,4,0,4
AT3G54670,8,0,2
AT5G16780,5,0,8
AT2G29560,5,0,8
AT3G29360,4,0,8
AT1G15930,3,0,7
AT3G11630,2,0,5
AT3G49430,6,0,3
AT4G39860,2,0,6
ATCG00500,6,0,6
AT2G33150,4,0,4
AT5G65730,3,0,8
AT1G58684,4,0,6
AT1G58983,4,0,6
AT4G16500,2,2,3
AT1G58380,4,0,6
AT1G59359,4,0,6
AT3G55610,3,0,7
AT5G60640,3,0,7
AT5G20010,3,0,5
AT3G51240,3,0,5
AT5G36880,6,0,7
AT1G69940,2,0,3
AT3G53870,2,0,3
AT5G07410,2,0,2
AT3G02520,0,4,8
AT2G47960,0,0,6
AT5G43990,6,0,3
AT1G09340,5,0,6
AT1G15270,0,2,2
AT3G61140,6,0,5
AT1G21720,2,0,6
AT1G06000,3,0,5
AT5G08640,5,0,5
AT2G45640,4,2,5
AT1G29350,5,0,5
AT2G38580,3,0,4
AT2G17420,3,0,4
AT1G17100,8,0,4
AT1G09770,0,0,3
AT3G22960,4,0,5
AT1G29370,5,0,4
AT3G57610,2,0,3
AT2G32060,0,0,6
AT5G43060,5,0,3
AT5G13520,0,0,0
AT5G14170,2,0,0
AT2G27880,3,0,0
AT2G04690,3,0,7
AT3G43300,3,0,4
AT3G06860,2,0,2
AT3G25860,7,0,5
AT2G05710,7,0,5
AT1G20010,5,3,8
AT2G02740,5,0,7
AT1G61010,5,0,4
AT2G19540,2,0,0
AT2G47510,4,0,9
AT2G37620,5,5,6
AT1G07140,0,0,8
AT4G05180,5,3,7
AT2G30050,3,0,7
AT1G23820,0,0,6
AT5G08280,4,0,6
AT4G26110,0,0,5
AT2G27860,3,0,5
AT2G47610,4,4,3
AT3G14990,0,0,3
AT3G25520,0,0,2
AT4G16155,3,0,2
AT5G13680,0,0,0
AT3G46580,0,0,11
AT2G30860,0,0,7
AT5G42980,0,0,7
AT2G07698,4,2,6
AT1G12840,2,0,4
AT1G21630,5,0,4
AT1G06570,0,0,3
ATMG01190,4,2,6
AT5G66760,0,0,3
AT3G08580,0,0,0
AT3G14240,7,0,0
AT5G15610,0,0,5
AT5G51660,6,0,2
AT1G79830,4,0,2
AT4G19006,2,0,5
AT1G09210,5,0,5
AT3G21810,5,0,0
ATCG00900,0,0,3
ATCG01240,0,0,3
AT1G06680,3,2,3
AT5G28060,3,0,3
AT2G16940,6,0,3
AT5G20720,6,0,7
AT5G01410,4,0,3
AT1G68560,5,0,8
AT3G60240,5,0,0
AT5G57460,4,0,4
