Protein,AT3G01460,AT3G01460,WT
AT3G26520,2,0,0
AT3G43810,2,2,2
AT3G47470,2,3,0
AT3G48560,2,5,2
AT3G51260,2,4,2
AT3G51840,2,2,2
AT3G52580,2,0,0
AT3G52960,2,0,4
AT3G53420,2,3,3
AT3G53430,2,0,3
AT3G55280,2,0,0
AT3G55800,2,0,2
AT3G56800,2,2,2
AT3G57410,2,5,4
AT3G60770,2,2,0
AT3G62120,2,3,3
AT3G62290,2,0,2
AT4G01870,2,3,0
AT4G05410,2,3,0
AT4G12420,2,3,0
AT4G15000,2,3,2
AT4G15530,2,3,2
AT4G15545,2,4,0
AT4G16143,2,4,0
AT4G21020,2,5,5
AT4G21860,2,0,0
AT4G22890,2,2,0
AT4G23850,2,0,0
AT4G23920,2,3,2
AT4G24820,2,2,0
AT4G29730,2,0,0
AT4G30190,2,6,5
AT4G33650,2,3,2
AT4G34180,2,0,0
AT4G34200,2,4,2
AT4G34555,2,2,0
AT4G36130,2,0,0
AT4G39200,2,2,0
AT4G39730,2,0,2
AT5G02160,2,2,4
AT5G02960,2,0,0
AT5G07020,2,0,0
AT5G09660,2,4,2
AT5G10470,2,5,5
AT5G14240,2,6,6
AT5G14670,2,0,2
AT5G16050,2,2,0
AT5G16390,2,3,3
AT5G16980,2,2,2
AT5G17000,2,3,2
AT5G17440,2,0,0
AT5G18380,2,0,0
AT5G20000,2,4,2
AT5G20020,2,0,5
AT5G20250,2,6,5
AT5G20920,2,0,0
AT5G20990,2,7,4
AT5G21274,2,2,2
AT5G22330,2,9,0
AT5G23210,2,2,2
AT5G24490,2,7,6
AT5G27030,2,3,0
AT5G27770,2,0,2
AT5G27850,2,2,0
AT5G35680,2,0,2
AT5G35970,2,4,0
AT5G37310,2,3,2
AT5G37780,2,2,2
AT5G39740,2,3,3
AT5G41520,2,0,0
AT5G42980,2,0,3
AT5G43010,2,5,6
AT5G45930,2,3,4
AT5G55190,2,0,5
AT5G55660,2,3,3
AT5G56030,2,3,4
AT5G59240,2,0,0
AT5G60160,2,2,3
AT5G60360,2,3,3
AT5G60660,2,0,0
AT5G60670,2,0,2
AT5G64100,2,2,3
ATCG00790,2,3,0
ATCG00800,2,4,2
ATMG01190,2,2,2
AT1G01080,0,3,2
AT1G01320,0,3,0
AT1G01940,0,0,2
AT1G02780,0,3,0
AT1G03475,0,3,2
AT1G03880,0,6,11
AT1G04170,0,2,0
AT1G06410,0,2,0
AT1G07660,0,2,0
AT1G07820,0,2,0
AT1G08520,0,5,3
AT1G09270,0,2,0
AT1G09590,0,2,0
AT1G09690,0,2,0
AT1G12240,0,2,0
AT1G13930,0,2,0
AT1G14320,0,2,0
AT1G16210,0,2,2
AT1G16720,0,3,0
AT1G17260,0,0,3
AT1G17290,0,4,0
AT1G18210,0,3,0
AT1G18500,0,3,2
AT1G19570,0,2,0
AT1G20200,0,4,4
AT1G20580,0,0,3
AT1G20600,0,0,3
AT1G20760,0,2,0
AT1G20960,0,2,0
AT1G21750,0,3,0
AT1G22300,0,2,0
AT1G23290,0,0,2
AT1G23410,0,3,2
AT1G26320,0,2,0
AT1G26480,0,2,0
AT1G26550,0,0,2
AT1G26630,0,0,3
AT1G26910,0,2,0
AT1G27090,0,3,5
AT1G28400,0,2,0
AT1G29670,0,4,3
AT1G29880,0,2,0
AT1G29900,0,3,3
AT1G30380,0,0,2
AT1G30720,0,4,2
AT1G30730,0,3,2
AT1G31340,0,3,2
AT1G32550,0,2,0
AT1G34760,0,2,0
AT1G36160,0,0,4
AT1G43670,0,0,2
AT1G47540,0,0,2
AT1G48030,0,0,2
AT1G48350,0,2,4
AT1G48410,0,0,2
AT1G48630,0,2,0
AT1G52670,0,0,3
AT1G53240,0,2,2
AT1G54340,0,3,0
AT1G55060,0,3,2
AT1G55480,0,3,0
AT1G57660,0,2,0
AT1G57860,0,2,0
AT1G59760,0,2,0
AT1G59870,0,6,0
AT1G61520,0,4,0
AT1G62390,0,0,3
AT1G65260,0,0,2
AT1G65350,0,3,2
AT1G66580,0,2,0
AT1G68010,0,6,5
AT1G69740,0,0,2
AT1G70410,0,3,0
AT1G70600,0,0,2
AT1G71220,0,2,3
AT1G72160,0,2,0
AT1G74470,0,0,2
AT1G75350,0,0,2
AT1G75750,0,7,5
AT1G75990,0,3,2
AT1G76160,0,0,2
AT1G76300,0,0,3
AT1G78380,0,3,5
AT1G78630,0,2,0
AT1G78830,0,3,0
AT1G79550,0,2,0
AT1G79850,0,0,2
AT1G79990,0,3,0
AT1G80410,0,11,0
AT2G01250,0,3,2
AT2G03870,0,2,0
AT2G04030,0,5,3
AT2G04170,0,2,3
AT2G04280,0,2,2
AT2G04390,0,0,2
AT2G04690,0,2,0
AT2G04865,0,3,0
AT2G05070,0,5,5
AT2G05100,0,5,5
AT2G05120,0,2,3
AT2G05220,0,0,2
AT2G05380,0,7,4
AT2G05520,0,4,0
AT2G05540,0,0,2
AT2G05920,0,8,7
AT2G05990,0,2,3
AT2G18510,0,0,2
AT2G19740,0,0,2
AT2G20230,0,0,2
AT2G21130,0,3,2
AT2G21410,0,2,0
AT2G23930,0,0,3
AT2G24200,0,3,0
AT2G24270,0,2,0
AT2G26080,0,2,2
AT2G27730,0,0,2
AT2G28740,0,2,0
AT2G30520,0,2,0
AT2G31610,0,3,4
AT2G33800,0,0,2
AT2G33830,0,0,4
AT2G34040,0,2,7
AT2G34430,0,2,2
AT2G34860,0,2,3
AT2G35410,0,2,3
AT2G35635,0,3,2
AT2G36170,0,3,2
AT2G36880,0,2,0
AT2G37170,0,0,2
AT2G37690,0,2,2
AT2G38020,0,0,2
AT2G39780,0,0,2
AT2G40010,0,2,0
AT2G40300,0,0,2
AT2G41740,0,2,0
AT2G42790,0,0,3
AT2G42910,0,0,3
AT2G43030,0,5,3
AT2G43160,0,2,3
AT2G43910,0,0,2
AT2G44060,0,0,3
AT2G46610,0,2,0
AT2G47110,0,3,2
AT2G47610,0,2,0
AT2G47940,0,0,2
AT3G01280,0,3,0
AT3G01340,0,2,0
AT3G01910,0,3,2
AT3G02080,0,2,0
AT3G03080,0,2,0
AT3G03250,0,2,0
AT3G03710,0,3,4
AT3G04770,0,2,2
AT3G05060,0,0,6
AT3G06720,0,3,0
AT3G06730,0,2,0
AT3G07770,0,2,2
AT3G09200,0,2,0
AT3G09790,0,2,0
AT3G09980,0,0,2
AT3G10090,0,3,3
AT3G10610,0,0,2
AT3G11250,0,2,0
AT3G11710,0,2,3
AT3G11830,0,4,0
AT3G11930,0,2,3
AT3G12810,0,8,0
AT3G13790,0,2,0
AT3G14067,0,2,2
AT3G14120,0,3,0
AT3G15020,0,2,0
AT3G15360,0,2,3
AT3G15880,0,3,2
AT3G16390,0,0,2
AT3G16470,0,2,0
AT3G16640,0,4,2
AT3G17240,0,0,2
AT3G18130,0,2,0
AT3G18380,0,3,0
AT3G19390,0,2,3
AT3G19820,0,0,2
AT3G20370,0,3,5
AT3G22200,0,0,2
AT3G22230,0,2,0
AT3G22630,0,0,2
AT3G22640,0,0,3
AT3G23400,0,0,2
AT3G23700,0,0,2
AT3G25530,0,2,0
AT3G25860,0,0,2
AT3G26720,0,0,2
AT3G27690,0,5,5
AT3G42640,0,0,2
AT3G44110,0,4,2
AT3G45030,0,0,2
AT3G45310,0,2,2
AT3G45930,0,2,0
AT3G46320,0,2,0
AT3G47370,0,0,2
AT3G47650,0,0,2
AT3G47800,0,2,2
AT3G47950,0,0,2
AT3G48000,0,0,5
AT3G48730,0,2,0
AT3G48990,0,3,3
AT3G49910,0,3,2
AT3G52590,0,3,2
AT3G53180,0,0,3
AT3G53730,0,2,0
AT3G53870,0,3,3
AT3G53890,0,2,0
AT3G53990,0,2,0
AT3G54890,0,2,2
AT3G55330,0,3,2
AT3G55620,0,0,2
AT3G56130,0,0,2
AT3G56290,0,2,0
AT3G57290,0,3,0
AT3G58610,0,0,2
AT3G58730,0,2,2
AT3G61430,0,4,0
AT3G61860,0,2,0
AT3G62250,0,3,2
AT3G63140,0,2,0
AT3G63460,0,2,4
AT4G00100,0,2,0
AT4G00165,0,2,0
AT4G01050,0,2,0
AT4G02620,0,2,0
AT4G02890,0,3,2
AT4G05050,0,3,2
AT4G05320,0,3,2
AT4G05420,0,3,0
AT4G09510,0,4,3
AT4G10340,0,2,3
AT4G10710,0,0,6
AT4G10760,0,2,0
AT4G10840,0,2,0
AT4G10960,0,0,2
AT4G11420,0,2,0
AT4G13670,0,0,3
AT4G13850,0,0,2
AT4G13930,0,2,0
AT4G14030,0,2,0
AT4G14800,0,0,4
AT4G18060,0,0,2
AT4G19006,0,0,2
AT4G19410,0,3,2
AT4G20860,0,2,0
AT4G24190,0,5,3
AT4G26230,0,0,2
AT4G27140,0,2,0
AT4G27170,0,2,0
AT4G27520,0,0,3
AT4G29060,0,3,0
AT4G30220,0,0,2
AT4G30690,0,3,3
AT4G31480,0,2,0
AT4G31490,0,2,0
AT4G31580,0,2,0
AT4G31700,0,2,2
AT4G31990,0,3,3
AT4G32208,0,2,0
AT4G33010,0,3,2
AT4G35250,0,2,3
AT4G38740,0,4,3
AT4G39080,0,3,0
AT4G39090,0,0,2
AT5G02530,0,2,0
AT5G03240,0,3,2
AT5G03850,0,3,3
AT5G04290,0,2,0
AT5G04800,0,0,2
AT5G05010,0,3,2
AT5G06320,0,0,2
AT5G08450,0,2,0
AT5G09440,0,2,2
AT5G09590,0,5,3
AT5G09900,0,0,2
AT5G10860,0,0,2
AT5G11580,0,3,0
AT5G13780,0,0,2
AT5G14590,0,2,0
AT5G15310,0,2,3
AT5G15520,0,2,0
AT5G16960,0,2,0
AT5G17310,0,2,0
AT5G18110,0,0,2
AT5G19550,0,2,2
AT5G19860,0,2,0
AT5G19990,0,3,2
AT5G20620,0,3,2
AT5G20630,0,5,4
AT5G20890,0,4,3
AT5G20980,0,3,2
AT5G22060,0,4,2
AT5G23540,0,3,2
AT5G24165,0,0,2
AT5G26260,0,2,0
AT5G26360,0,2,5
AT5G26780,0,0,2
AT5G26830,0,2,0
AT5G27640,0,3,3
AT5G27700,0,2,0
AT5G35530,0,3,3
AT5G35790,0,3,0
AT5G37640,0,3,2
AT5G43060,0,4,3
AT5G43580,0,2,2
AT5G44020,0,3,2
AT5G45280,0,3,0
AT5G47910,0,3,0
AT5G48300,0,3,3
AT5G51060,0,2,0
AT5G51720,0,0,2
AT5G51970,0,2,2
AT5G52840,0,2,2
AT5G53620,0,2,0
AT5G54600,0,2,0
AT5G56360,0,0,2
AT5G56710,0,0,2
AT5G56870,0,5,2
AT5G57350,0,0,3
AT5G58330,0,0,2
AT5G59690,0,2,0
AT5G59970,0,2,0
AT5G61170,0,2,0
AT5G61410,0,0,2
AT5G61790,0,2,0
AT5G62300,0,0,2
AT5G62670,0,2,2
AT5G62740,0,2,0
AT5G63110,0,0,3
AT5G63570,0,2,0
AT5G64130,0,2,0
AT5G64140,0,4,2
AT5G64370,0,3,0
AT5G64570,0,0,3
AT5G64760,0,0,2
AT5G65010,0,3,0
AT5G65220,0,2,0
AT5G65910,0,2,0
AT5G66090,0,0,3
AT5G66140,0,3,2
AT5G66760,0,2,0
AT5G67360,0,2,0
ATCG00020,0,4,3
ATCG00130,0,4,4
ATCG00750,0,0,2
